,id,Book_Name,Writer_Name,Category,Rating,Review,Site,sentiment,label,Book_name_without_spaces
10,40365, ছোটদের Spoken English (Paperback)     , উম্মে মাইসুন , বয়স যখন ৮-১২: রেফারেন্স ও আত্মউন্নয়নমূলক বই ,1,এটি একটি আবর্জনা বই,Rokomari,negative,0,ছোটদেরSpokenEnglish(Paperback)
11,6396, বিস্ট কোয়েষ্ট সিরিজ ১-১২ (পেপারব্যাক)  রকমারি কালেকশন (১১- ১৬ বছর বয়সী কিশোর অ্যাডভেঞ্চার উপন্যাস)   , অ্যাডাম ব্লেড ," শিশু-কিশোর: রহস্য, গোয়েন্দা, ভৌতিক, থ্রিলার ও অ্যাডভেঞ্চার ",1,"বই এর কভার ঠিক আছে কিন্তু ভিতরের পেজ গুলা খবই নিম্নমানের,,",Rokomari,negative,0,বিস্টকোয়েষ্টসিরিজ১-১২(পেপারব্যাক)রকমারিকালেকশন(১১-১৬বছরবয়সীকিশোরঅ্যাডভেঞ্চারউপন্যাস)
12,69154, লক্ষণমালা হোমিও আরোগ্যকলা ও মেটেরিয়া মেডিকায় দেশীয় ভেষজ     , ডা. আলমগীর মতি , ভেষজ ও আয়ুর্বেদিক ,1,"আমি কিনেছিলাম। ভুয়া বই। শুধু নিজের মার্কেটিং। হোমিওপ্যাথি কিংবা ভেষজ, কোনটা নিয়েই উপকৃত হওয়ার মতো আলোচনা নেই৷ ",Rokomari,negative,0,লক্ষণমালাহোমিওআরোগ্যকলাওমেটেরিয়ামেডিকায়দেশীয়ভেষজ
13,99441, কাকতাড়ুয়ার হাসি (পেপারব্যাক)  , মাহবুব সাদিক , বয়স যখন ৮-১২: গল্প ,1,অঘ্রানের সন্ধ্যাবেলা ছেঁড়াফাটাকাপড়ে সাজানো হাসিখুশি এককাকতাড়–য়া দেখল টুকু। তারপ্রশেড়বর উত্তর আসছে। ঐকাকতাড়–য়ার কাছ থেকে।তারপর ছেঁড়াফাটা পোশাকেরভেতর থেকে লাফিয়ে নামলকিশোর কাকতাড়–য়া নিশি।ঘটতে থাকল একের পর একরোমাঞ্চকর ঘটনা। তাড়া খেয়েটুকু-নিশি ঢুকল বদমাশদের ন,Rokomari,negative,0,কাকতাড়ুয়ারহাসি(পেপারব্যাক)
14,75048, ফটোগ্রাফির টুকিটাকি (হার্ডকভার)     , তৌহিদুন নবী , ফটোগ্রাফি কৌশল ,1,"একদম ফ্রি তে দিলেও এই বইটি কারো পড়া/কেনা উচিত হবেনা। তারচেয়ে কোন ফকির কে ৯০টাকা দান করলেও অনেক ভাল হবে। ২০১৭ সালে ১৯৫০ সালের জিনিস দিয়ে সাজানো হয়েছে বইটি, এই বইটি থেকে কিছুই শিখতে পারবেন না, টাকা এবং সময় নষ্ট হবে। যারা মূলত ফোটোগ্রাফির ""ফ"" ও জানেনা তাদের ",Rokomari,negative,0,ফটোগ্রাফিরটুকিটাকি(হার্ডকভার)
15,81424, Blue Book of: The Law Of Success   Blue Book Of   , Napoleon Hill , Foreign Language Books: Self-help and meditation ,1,খারাপ,Rokomari,negative,0,BlueBookof:TheLawOfSuccessBlueBookOf
16,46116, মাসুদ রানা ৪৬৩ : ছায়াঘাতক (হার্ডকভার)     , কাজী আনোয়ার হোসেন , রহস্য ও গোয়েন্দা ,1,দারুন একটা বই।সেবা প্রকাশনী হতে প্রকাশিত বই।কংগোর বন থেকে মৃত্যোর হাত থেকে রানাকে বাচান কর্নেল জন ব্রাউন। তাকে জরুরী সাহায্য করতে যান রানা।রানা কর্নেলের ছেলের খুনিকে ধরেও ফেলে।নিজের অজান্তে সে জড়িয়ে যায় প্রাচীন মিশরীয় গুপ্তধন এর মারনজালে।রানার প্রেমে পরে ,Rokomari,negative,0,মাসুদরানা৪৬৩:ছায়াঘাতক(হার্ডকভার)
17,96524, বেহেশতী জেওর  , মাওলানা মোঃ সাখাওয়াত উল্লাহ , ইসলামি বিধি-বিধান ও মাসআলা-মাসায়েল ,1,"(১) বেহেশতী জেওর বইটি বাংলাদেশে জাল এবং জয়ীফ হাদিস প্রচারে অন্যতম  সেরা ঘৃণ্য ভূমিকা পালন করেছে। এতে শত শত বিদআত এর আমদানি হয়েছে। (২) ইমাম আহামাদ ইবনে হাম্বাল (র) কে জিজ্ঞেস করা হয়েছিল, “যে বাক্তি নফল রোযা রাখে, নফল নামাজ আদায় করে, ইতিকাফ করে সে বেশি প্",Rokomari,negative,0,বেহেশতীজেওর
18,68851, হিউম্যান সেক্স (হার্ডকভার)     , ডাঃ কে.এইচ.এম জামাল উদ্দিন সরকার , স্বাস্থ্য বিষয়ক বিবিধ বই ,1,মোটামুটি বুক,Rokomari,negative,0,হিউম্যানসেক্স(হার্ডকভার)
19,75642, বিসিএস - সাহিত্যিক পরিচিতি (স্পেশাল সাপ্লিমেন্ট) (পেপারব্যাক)  BCS Special Supplement Series   , রয়েল সম্পাদনা পর্ষদ (সম্পাদক) , বাংলা ভাষা ও সাহিত্য ,1, রয়েল এর বই গুলোর মান অত্যন্ত নিম্নমানের।কিন্তু বাকি দুটি বই অনেক ভালো ছিলো।,Rokomari,negative,0,বিসিএস-সাহিত্যিকপরিচিতি(স্পেশালসাপ্লিমেন্ট)(পেপারব্যাক)BCSSpecialSupplementSeries
20,129510, বর্ণমালা (পেপারব্যাক)  বিশ্ববিদ্যালয় ভর্তি প্রস্তৃুতির পূর্ণাঙ্গ বাংলা বই।   , শরীফ ওবায়েদুল্লাহ , বিশ্ববিদ্যালয় ভর্তি প্রস্তুতি ,1,এই বই টা তে অনেক ভুল।এত ভুল কোন বই তে থাকতে পারে আমার ধারণা ছিল না ,Rokomari,negative,0,বর্ণমালা(পেপারব্যাক)বিশ্ববিদ্যালয়ভর্তিপ্রস্তৃুতিরপূর্ণাঙ্গবাংলাবই।
21,53480," ছায়ামঞ্চ আইসিটি সামিট (পেপারব্যাক)  ঢাবি, রাবি, জাককানইবি, বেরোবি সহ সকল বিশ্ববিদ্যালয়ের ভর্তি প্রস্তুতির জন্য   ", ছায়ামঞ্চ পাবলিকেশন্স (সম্পাদক) , বিশ্ববিদ্যালয় ভর্তি প্রস্তুতি ,1,ফালতু একটা বই বইটা কিনে ধরা খাইছি 😪😪,Rokomari,negative,0,"ছায়ামঞ্চআইসিটিসামিট(পেপারব্যাক)ঢাবি,রাবি,জাককানইবি,বেরোবিসহসকলবিশ্ববিদ্যালয়েরভর্তিপ্রস্তুতিরজন্য"
22,105650, বিশ্বসেরা চলচ্চিত্র (হার্ডকভার)  , মুম রহমান , চলচ্চিত্র বিষয়ক প্রবন্ধ ও আলোচনা ,1,বিশ্বসেরা চলচ্চিত্র: মুম রহমান। ৬০০ টাকা দামের বইটি রকমারি থেকে কিনে এবং পড়ে আমি খুব হতাশ। প্রথম কথা হলো ব্লগে ফেসবুকে শখের রিভিউ লেখা আর বই প্রকাশ করা এক কথা নয়। প্রথমটি আমরা অনেকেই করে থাকি কিন্তু বই প্রকাশের জন্য প্রয়োজন ন্যূনতম প্রফেশনালিজম। বইটিতে ১৫,Rokomari,negative,0,বিশ্বসেরাচলচ্চিত্র(হার্ডকভার)
23,109716, মিতুল ও তার রবোট (হার্ডকভার)     , মুহম্মদ জাফর ইকবাল , শিশু-কিশোর: সায়েন্স ফিকশন ,1,jodi apni boro hon ar nhaben je apni scifi porben tahole eta apner jonno na.....eta baccha der jonno...38 pg er boi...with picture...shame...kine dhora khaisi...😠😵😵😵😵,Rokomari,negative,0,মিতুলওতাররবোট(হার্ডকভার)
24,29192, শেষের আগে (হার্ডকভার)     , আরেফিন রহমান বৃষ্টি , সমকালীন উপন্যাস ,1,"মজা পেলাম না...লেখককে আরো পড়ালেখা করা উচিত।লেখক হওয়া এত সহজ বিষয় না, আমি ও এই ১৭ বছর বয়সে লেখা শুরু করতে পারি, কিন্তু পাঠকগন আমার লেখা দ্বারা কোন উপকার আসবে না।ঠিক তেমনি এই বইটা...১স্টার দিতে লজ্জা করছে।",Rokomari,negative,0,শেষেরআগে(হার্ডকভার)
25,35434, দর্শন (হার্ডকভার)  , আহমেদ লিপু , দর্শন বিষয়ক গবেষণা ও প্রবন্ধ ,1,বোগাস,Rokomari,negative,0,দর্শন(হার্ডকভার)
26,157930,মুসলিম শরীফ (১ম-৬ষ্ঠ খণ্ড),ইমাম মুসলিম (র),আল হাদিস,1,ইসলামিক ফাউন্ডেশনের বইয়ের গুণগত মান পুরাতন। প্রিন্ট প্লেট পুরাতন হওয়ায় অনেকক্ষেত্রে ছাপা মান ফটোকপির মতো দেখায়। তবে এগুলো ফটোকপি নয়। প্রেসেই ছাপা।,WafiLife,negative,0,মুসলিমশরীফ(১ম-৬ষ্ঠখণ্ড)
27,73461, গণদেবতা (হার্ডকভার)     , তারাশঙ্কর বন্দ্যোপাধ্যায় , চিরায়ত উপন্যাস ,1,খারাপ না,Rokomari,negative,0,গণদেবতা(হার্ডকভার)
28,97796, জ্বীন : সত্য মিথ্যার অন্তরালে     , মারুফ বিল্লাহ , অতিপ্রাকৃত ও ভৌতিক ,1,আমি আবারো আরেকটা রেটিং আর কিছু কথা অ্যাড করার জন্য ফিরে এলাম... এবার সরাসরি ১  রেটিং দিতে বাধ্য হলাম... আপনি আসলে কি লিখতে চেয়েছেন??? একটা ডায়রি নাকি একটা কল্প কাহিনি নাকি সমাজ মূলক বই... নাকি একজনের অসামাপ্ত গল্প???  আমি যেটা বুঝলাম আপনি নিজেই ধাঁধায় পরে,Rokomari,negative,0,জ্বীন:সত্যমিথ্যারঅন্তরালে
29,3521, মেডি সাকসেস : মেডিকেল টেকনোলজিস্ট চাকুরি নিয়োগ গাইড     , অনন্য চট্টগ্রাম প্রকাশন (সম্পাদক) ," পরিবার-পরিকল্পনা, স্বাস্থ্য, নার্সিং নিয়োগ ",1,ফালতু বই,Rokomari,negative,0,মেডিসাকসেস:মেডিকেলটেকনোলজিস্টচাকুরিনিয়োগগাইড
30,9127, অ্যান্ড দেন দেয়ার ওয়াজ নান (হার্ডকভার)     , আগাথা ক্রিস্টি ," রহস্য, গোয়েন্দা, ভৌতিক, মিথ, থ্রিলার, ও অ্যাডভেঞ্চার: অনুবাদ ",1,খুব হতাশাজনক অনুবাদ । ব্যাকরনগত ভুলে ভরা।  সাহিত্যমান মোটেই অরিজিনালের মতো না। ,Rokomari,negative,0,অ্যান্ডদেনদেয়ারওয়াজনান(হার্ডকভার)
31,144725, রসায়নের গোড়ার কথা (হার্ডকভার)     , সৌমেন সাহা , রসায়ন ,1,"যাবে সিনা, জাবের যাবে হ.,",Rokomari,negative,0,রসায়নেরগোড়ারকথা(হার্ডকভার)
32,50705, জাহাঙ্গীরনগর গাইডলাইন (বি-ইউনিট) - ভর্তি গাইড (পেপারব্যাক)  সমাজবিজ্ঞান অনুষদ   , গাইডলাইন পাবলিকেশন্স (সম্পাদক) , মানবিক বিভাগ ভর্তি প্রস্তুতি ,1,"যেরকম ভেবেছিলাম  তা নয়। বই পড়ে দেখলাম আহামরি কিছু নেই। গতানুগতিক কিছু প্রশ্ন প্যাটার্ন।  যা ফলে করলে মনে হয়না উপকার হবে। আমি বলব, এই বই না কিনতে। ",Rokomari,negative,0,জাহাঙ্গীরনগরগাইডলাইন(বি-ইউনিট)-ভর্তিগাইড(পেপারব্যাক)সমাজবিজ্ঞানঅনুষদ
33,42770, নূরানী কোরআন শরীফ (আরবি: ৪২নং- আট ফোম কোলকাতা) (হার্ডকভার)     , এমদাদিয়া লাইব্রেরী , নূরানী কুরআন ,1,বই,Rokomari,negative,0,নূরানীকোরআনশরীফ(আরবি:৪২নং-আটফোমকোলকাতা)(হার্ডকভার)
34,343, আশরাফ আলি থানভির প্রিয়গল্প-২ (হার্ডকভার)  , حكيم الامت مولانا اشرف علي تهانوي رح ( হাকীমুল উম্মত মাওলানা আশরাফ আলী থানভী রহ.) , ইসলামি গল্প ,1,"বইয়ের কাভার আর সূচিপত্র প্রিয়গল্প-২, ভিতরে প্রিয়গল্প-১, এরকমটা করা উচিত নয়।আমি ২ টা বই অর্ডার দিয়ে ঠকলাম ",Rokomari,negative,0,আশরাফআলিথানভিরপ্রিয়গল্প-২(হার্ডকভার)
35,86558, স্কেচ (হার্ডকভার)     , ফারজানা মিতু , থ্রিলার ,1,"kahinita valo silo kintu , kisu proshner uttor  akhon o baki theke jay ..seta niye kono kotha boleni ei boi e . Jodi koronar kotha na likhto tahole beshi valo lagto ... virus niye lekhar jonno time ta think vabe melate pareni .. karon mukhosh boi e j time",Rokomari,negative,0,স্কেচ(হার্ডকভার)
36,10864, গুড্ডুবুড়ার গল্প (হার্ডকভার)     , আনিসুল হক , বয়স যখন ৮-১২: গল্প ,1,সবচেয়ে খারাপ,Rokomari,negative,0,গুড্ডুবুড়ারগল্প(হার্ডকভার)
37,37037, পারুলকন্যা (হার্ডকভার)  , ইমদাদুল হক মিলন , সমকালীন উপন্যাস ,1,"পারুল কন্যা-ইমদাদুল হক মিলন-বুক মিভিউঃ একেকজনের বই পড়ে একেক অনুভূতি হয়। কারন মানুষ, পেশা হিসেবে একেকজন একেকরকম। আমি তার উদাহরণ আজ পেলাম। আমি আবার ডাক্তার লাইনের তো। রিমি যখন ডিরেকটর পর্যায়ের কবিকে বললেন ইমোশনাল হবেন না, তখন ভাবতেছিলাম-হায়রে ডিরেক্টর আসলে ",Rokomari,negative,0,পারুলকন্যা(হার্ডকভার)
38,38660," সোফির জগৎ (হার্ডকভার)  আন্তর্জাতিক পুরস্কার প্রাপ্ত, পাশ্চাত্য দর্শনের ইতিহাস নির্ভর এক অসাধারণ, বহুল পঠিত উপন্যাস   ", ইয়স্তেন গার্ডার , পাশ্চাত্য দর্শন ,1,আমি বইটির মুদ্রণের গুণমানটি খুব পছন্দ করি নি।আমি যদি ভুল না হয় তবে কিছু জায়গায় কালি যথেষ্ট নয়।,Rokomari,negative,0,"সোফিরজগৎ(হার্ডকভার)আন্তর্জাতিকপুরস্কারপ্রাপ্ত,পাশ্চাত্যদর্শনেরইতিহাসনির্ভরএকঅসাধারণ,বহুলপঠিতউপন্যাস"
39,15738, সূর্যঘড়ি (হার্ডকভার)     , আবুল বাসার , সমকালীন উপন্যাস ,1,"আপনাকে ধন্যবাদ লেখক ... আপনি বাংলা কবিতা, রাইমস এবং নাটক রচনায় সাফল্য হতে পারেন।আপনি যদি কঠোর পরিশ্রম করেন তবে আপনি বিখ্যাত লেখক হবেন ..",Rokomari,negative,0,সূর্যঘড়ি(হার্ডকভার)
40,99539, ফেসবুক মার্কেটিং (পেপারব্যাক)  ফেসবুকে ফ্রি মার্কেটিং এবং আয় করা   , মাহবুবুর রহমান (আইসিটি) ," ব্র্যান্ডিং, মার্কেটিং ও সেলিং ",1,"আমি বুঝিনা এই রকমের একটা বই সিসটেক প্রকাশনী বের করলো কি করে, আমার মনে হয় এই বইয়ের লেখক মাত্র কয়েক দিন আগে ফেসবুক জিমেইল গুগল ইউটিউব চালানো শিখেছে তাইতো এসব ব্যাসিক বিষয় নিয়ে লিখেছে, আরেকটা ব্যাপার হতে পারে লেখক হয়তো বৃদ্ধ লোকদের ফেসবুক শেখানোর উদ্দেশ্যে ল",Rokomari,negative,0,ফেসবুকমার্কেটিং(পেপারব্যাক)ফেসবুকেফ্রিমার্কেটিংএবংআয়করা
41,6704, দ্য গড অব স্মল থিংস (হার্ডকভার)     , অরুন্ধতী রায় , অনুবাদ উপন্যাস ,1,বইয়ের পাতা ও লেখার কোয়ালিটি ভালোনা।মনে হচ্ছে ফটোকপি বই।,Rokomari,negative,0,দ্যগডঅবস্মলথিংস(হার্ডকভার)
42,49681, নির্বাচিত রচনা (হার্ডকভার)  , ক্লদ লেভি স্ত্রস , রচনা সংকলন ও সমগ্র ,1,খুবই বাজে ধরনের অনুবাদ। এরকম আক্ষরিক অনুবাদ না করলেও পারতেন। এটা পড়ে অনেকেই ভূল জিনিস বুঝবে। আদৌ কিছু বুঝবে কিনা সন্দেহ। River যে শুধু নদী নয় কারো নামও হতে পারে এই জ্ঞানটুকু না থাকলে এই বই কেন অনুবাদ করতে গেলেন এইটাই ভাবি। বাকি ভূলের কথা আর নাই বললাম। এরক,Rokomari,negative,0,নির্বাচিতরচনা(হার্ডকভার)
43,4892, ২০১৭ সালে রকমারি বেস্ট সেলার আত্মউন্নয়নমূলক ৫টি বইয়ের কালেকশন     , বিশ্বাস ফজলুল হক , আত্ম উন্নয়ন ও মোটিভেশন ,1,বাংলা অনুবাদ ভালো হয়নি। তাই কেউ যদি এই বইটা পড়তে চান তাহলে ইংরেজি ভার্শন পড়েন। ভালো লাগবে। ,Rokomari,negative,0,২০১৭সালেরকমারিবেস্টসেলারআত্মউন্নয়নমূলক৫টিবইয়েরকালেকশন
44,56029, জাহাঙ্গীরনগর বিশ্ববিদ্যালয় ভর্তি সহায়িকা - G ইউনিট (পেপারব্যাক)  ইনস্টিটিউট অব বিজনেস অ্যাডমিনিস্ট্রেশ (আইবিএ) বিবিএ প্রোগ্রাম   , মো: শফিকুল ইসলাম (সম্পাদক) , ব্যবসায় শিক্ষা ভর্তি প্রস্তুতি ,1,30% সন্তুষ্ট,Rokomari,negative,0,জাহাঙ্গীরনগরবিশ্ববিদ্যালয়ভর্তিসহায়িকা-Gইউনিট(পেপারব্যাক)ইনস্টিটিউটঅববিজনেসঅ্যাডমিনিস্ট্রেশ(আইবিএ)বিবিএপ্রোগ্রাম
45,48684, অরফান এক্স (হার্ডকভার)     , গ্রেগ হুরউইজ , রহস্য ও গোয়েন্দা ,1,"অনুবাদ বিষয়ক মতামতঃপ্রচ্ছদটা সুন্দর। প্রথম দিকে পড়ার সময় বিরক্ত লেগেছে, অনুবাদ কঠিন লেগেছে। বইয়ের মাঝামাঝি এসে মোটামোটি ঠিকঠাক ছিল।  এর চেয়ে সহজ অনুবাদ করা যায় না? সেবা প্রকাশনীর বই গুলোর মতো!  লেখক ও বই বিষয়ক মতামতঃ বই টা আমার আহামরী টাইপের লাগে নি।  সচা",Rokomari,negative,0,অরফানএক্স(হার্ডকভার)
46,36918, মলয় বাতাসে (হার্ডকভার)  , ইমতিয়াজ সজীব , সমকালীন উপন্যাস ,1,হতে পারে এটি কেবল আমিই তবে আমি বইটির সাথে মোটেও সংযোগ করতে পারিনি।সবকিছু খুব নাটকীয় বলে মনে হয়েছিল।,Rokomari,negative,0,মলয়বাতাসে(হার্ডকভার)
47,128540, তাও তে চিং সহজিয়া পথ (হার্ডকভার)  আড়াই হাজার বছরেরও পুরোনো চীনা দর্শন-কাব্য    , লাওৎস , প্রাচীন দর্শন ,1,"LOL ... সবচেয়ে খারাপ অনুবাদ, শব্দের পছন্দ খুব খারাপ।সে কি অসুস্থ ??",Rokomari,negative,0,তাওতেচিংসহজিয়াপথ(হার্ডকভার)আড়াইহাজারবছরেরওপুরোনোচীনাদর্শন-কাব্য
48,37575, মেডি প্রশ্নব্যাংক: মেডিকেল ও ডেন্টাল (পেপারব্যাক)  মেডিকেল ও ডেন্টাল ভর্তি পরীক্ষার সহায়ক সর্বোত্তম প্রশ্নব্যাংক বই   , ডা. মো. মনিরুজ্জামান (সম্পাদক) , মেডিক্যাল ভর্তি প্রস্তুতি ,1,খারাপ না,Rokomari,negative,0,মেডিপ্রশ্নব্যাংক:মেডিকেলওডেন্টাল(পেপারব্যাক)মেডিকেলওডেন্টালভর্তিপরীক্ষারসহায়কসর্বোত্তমপ্রশ্নব্যাংকবই
49,144643, আমার প্রথম গণিত বই (হার্ডকভার)     , সৌমিত্র চক্রবর্তী , গণিত ,1,এই বইয়ে কোন অঙ্ক শেখানো হয় নি। এখানে জাস্ট অনেকগুলো ছোট ছোট গাণিতিক সমস্যা আর সমাধান দেয়া আছে এককথায়।,Rokomari,negative,0,আমারপ্রথমগণিতবই(হার্ডকভার)
50,119451, ইগো ইজ দি এনিমি (হার্ডকভার)     , রায়ান হলিডে , অনুবাদ: আত্ম-উন্নয়ন ও মেডিটেশন ,1,খারাপ অনুবাদ,Rokomari,negative,0,ইগোইজদিএনিমি(হার্ডকভার)
51,121038, সৌন্দর্যের সোনালী বাহন : ভাষা ও সাহিত্য (হার্ডকভার)  , মোহাম্মদ হাবিবুল্লাহ ," ভাষা বিষয়ক গবেষণা, প্রবন্ধ ও সমালোচনা ",1,সৌন্দর্যের সোনালী বাহন লেখক হাবিবুল্লাহ মেসবাহ প্রকাশনায় আহমদ প্রকাশনী ।লেখক হলেন মনের প্রিয় মানুষ তাই বইটি দ্রুত পড়ে শেষ করতে ইচ্ছে করলাম...বইয়ের শুরু থেকে পড়লাম মাশাআল্লাহ লেখক খুবই সুন্দর মনের ভাব ফুটিয়ে তুলেছেন বাকশৈলীপূর্ণ ভাবে । আরও ভাল লেগেছে তিনি ,Rokomari,negative,0,সৌন্দর্যেরসোনালীবাহন:ভাষাওসাহিত্য(হার্ডকভার)
52,86329, কুয়াকাটায় মাছ রহস্য  , ফরিদুর রেজা সাগর ," বয়স যখন ৮-১২: রহস্য, গোয়েন্দা, থ্রিলার ও অ্যাডভেঞ্চার ",1,এককথায় বাজে।,Rokomari,negative,0,কুয়াকাটায়মাছরহস্য
53,45155, না বলতে শিখুন (হার্ডকভার)  যদি হ্যাঁ বলতে না চান   , ওয়াহিদ তুষার (অনুবাদক) , আত্ম উন্নয়ন ও মোটিভেশন ,1,খুব বঁড়শি ভালো লাগে নাই,Rokomari,negative,0,নাবলতেশিখুন(হার্ডকভার)যদিহ্যাঁবলতেনাচান
54,87276, উৎসবের শেষে (হার্ডকভার)     , ফাহাদ আহমেদ , ধর্মীয় ও ভক্তিমূলক কবিতা ,1,দারুণ 🌼,Rokomari,negative,0,উৎসবেরশেষে(হার্ডকভার)
